Imports of goods and services (% of GDP),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Burundi,13.392857516035,14.6551732835061,16.3934421315315,14.2857141285868,12.0805370181781,12.534289462699,12.9921803763367,11.8857765527851,13.3668122270742,12.0945742954996,11.6210197230579,14.1716801439181,15.0749696694666,13.3327311322885,15.5339377333162,19.0017705948535,16.6528767491648,17.2914189235808,20.2264008026176,22.7221415213696,23.2920650338144,22.037695696343,26.9074459918851,24.7477597409048,23.5523097883576,20.7869023910573,22.3156304766528,25.7386317350789,25.9531832602092,22.943565396861,27.7751472575537,28.5051827840065,29.4769508897943,27.1610357554742,28.4817585427135,27.2782835555625,15.7534012618776,14.4399066511085,19.44027986007,15.9639877031181,19.9307240704501,20.8947272727273,22.3243243243243,27.6868189747677,33.9156145598102,45.2921721492871,46.975301814418,,,,,
Cambodia,21.9730927701744,18.6666668790519,22.9437215812298,20.7843125129104,15.6934318844904,12.5,12.8125,10.089020848154,10.7238609578161,10.5515588177746,7.76942350904831,,,,,,,,,,,,,,,,,,,,,,,32.6671841536037,38.6760725619177,46.5825465154356,43.7975600583897,45.3177088818291,44.381327208959,53.6327018992973,61.763298865785,61.2666203056648,64.2708081103036,66.5603420217305,70.9055222535421,72.7472228062949,76.0220710155038,72.9421788190039,67.7770086773628,55.9177118719427,59.5209354442633,
Cameroon,,,,,,24.2606463557632,23.5772364571664,22.5792443525353,24.6332040030602,22.8591363106438,24.6700209758459,27.1579727351993,26.0857499099229,23.9971681737524,22.7999234340612,25.5430347740051,27.3646191928009,27.805756088208,28.1220286288053,28.2423949146856,27.1313908986844,28.4141250732191,28.911055658992,29.3035875980049,30.9934260521738,31.5758173163759,22.7244364231134,20.6260388355991,15.9616339886488,17.7694471471031,17.3135310416792,14.6398988938186,18.3155699246753,15.5653454896839,16.9032161406312,17.7938410180778,18.3915083039336,18.3598885207972,17.7063498633993,17.164267390096,19.6615752187515,23.2143096083103,20.7166375175321,19.9111257840021,19.8307619632814,21.4706958032367,20.9533954727031,21.2462076612868,35.5362141680544,31.4066478954526,32.0298421028694,
Canada,18.135559267776,18.0517669285716,17.7928988202694,17.4494600662853,18.1545167335744,18.6531211721319,19.3063082692355,19.2523871025233,19.9826647754275,21.1429191684468,19.7728961288105,19.8010748864664,20.7655145433206,21.7709916560687,24.3732066113556,24.1871662990076,22.862185865576,23.3571522312681,24.6752451230618,26.3201193231203,26.2292057635421,26.1915660344383,21.7951924266636,22.2027487566422,25.1151069215405,25.9570446806145,26.8821421115579,25.6402641385887,25.9531164878469,25.6523973435828,25.6829837584072,25.6932417230476,27.4658805390589,30.2087229642016,32.8217488483836,34.1324192461742,34.3607802462527,37.5278821568923,39.4406173734088,39.524307312093,39.825669691996,37.7994455113858,37.1497217897398,34.3607476250335,34.108912655143,34.0846310901157,33.6232983201244,33.0190005289002,33.5941095834025,30.4337845040991,31.3092758376174,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,47.5019916291392,42.9851164910681,41.2250769404832,46.4884237689055,43.7051440260686,41.4753294587549,48.8005683031388,49.28707611527,55.3009405134181,59.1396851329274,54.3786331689793,55.9242200620897,55.2832055591223,57.7649844752639,60.5133897688092,62.354309670737,68.5447455912596,67.4040296128387,69.5629969252758,66.5664793381717,72.6844919463487,77.7720141172193,78.9286184698154,68.4946199608276,67.262034668668,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Rep.,34.1818121833792,35.7615887976843,37.7049074102674,38.4858050991452,40.8045902264511,37.6693766937669,42.5257731958763,46.8982382133995,39.6312253862972,37.5984582382905,41.562349899142,37.4234622761484,33.8130870133513,36.4868833289362,43.3361132051685,39.9199700691655,29.3266108046944,34.3249061659555,33.8857602752031,35.1329394667199,41.0807828737603,34.0597439118345,34.2245065885715,36.6162611037155,35.501677385105,32.5033138801238,30.5847773017047,29.0805899252652,25.6498543521903,26.0487210582342,27.6251301120348,22.3644505197913,24.1125133651321,22.3321510256372,29.7048652301065,27.6911655910021,21.0442710997442,24.9309875064179,25.2465199093558,14.5625938513827,24.1034660791863,21.0072107093808,20.1400328529923,18.0159635454885,19.4005962168099,21.3917368227318,21.9137404943374,22.4841623616236,23.5923423423423,22.6902796885707,,
Chad,17.0375686484922,18.5567758588962,19.6289542267903,19.2119944651003,21.3294525208405,17.8130385811363,17.9632192357558,18.1641318177809,18.6850288911353,17.6988744215062,22.049730943902,21.0576288558938,19.3840592630798,23.5002533423511,26.8037366854211,25.8506115216638,26.3842254900674,28.3726131111215,27.9675691681904,34.637628636935,28.8656767392316,22.6613186660232,13.4948261285334,23.5415292401048,24.0530315274696,31.3270302874523,35.3757947130536,36.4324781263929,30.1042396045207,31.4086673562528,27.9068151914022,24.3979082596449,24.8138136416645,29.3238872195691,34.88274935505,33.7675390248983,29.0665239474433,30.769265058496,29.5673568329391,32.1897469937064,34.6810755815567,49.6561204963144,113.660867256345,58.7459480524471,50.7597328659693,43.8387379677609,41.1399938963437,52.3,50.2,70.1,68.7,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,15.7097661107579,16.0552573793224,13.6249376552657,14.4945634237497,13.3516478381234,12.5588697017268,13.6986301369863,13.1278538812785,13.1551901336074,14.1864094197759,14.0205371248025,12.0242015776978,13.2345596803729,15.4680891821063,19.7058827126548,27.4105181840367,20.7958583342668,22.4228177365077,23.9259478115158,26.1077676195724,26.9779232562297,26.753797654448,21.2534715115243,21.3177687627731,25.342655396281,25.7129499696926,26.0304941873983,27.220712718722,27.2532286944265,30.651295842656,30.5496690661927,27.7703040114314,28.1690258775126,28.6188853660583,26.5742305305919,27.1026407188922,28.9651736423094,29.203070872845,29.5659820686937,27.3257684698554,29.7325179378134,31.7737368189524,31.6204602809466,32.4122768975178,31.5848704919264,32.8121269550793,30.7087922047235,33.2435002781556,41.0706562117451,31.2106573531908,31.8472303453172,
