Tax revenue (% of GDP),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Mayotte,,,,,,,,,,,,,,,,,,,,,,
Mexico,11.7826894954672,11.5461491162096,11.5880233550549,11.2649620972236,10.628130397666,10.6498433952436,10.7931965514921,11.2025012279627,10.1941981633662,10.7374484170144,11.6552896026751,,,,,,,,,,,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,
Moldova,,,,,,,12.0896172189218,18.2831986606131,18.7333174316512,15.0573270821849,14.7258544054338,12.1713376650726,12.8813543692286,14.672913689088,16.3575064848884,18.4854037391876,19.5710510216802,20.5667007882208,20.4460968019778,17.6852556677147,18.2047070940445,
Monaco,,,,,,,,,,,,,,,,,,,,,,
Mongolia,,,11.0813657493787,17.5173290207141,11.3241649288739,9.77395635681234,9.60234781660849,10.572433151791,8.35867208743328,9.80581787717774,13.9101606967841,14.6620591872283,13.3692402227291,18.0387455710695,,,28.7099746783994,23.4791764783736,21.6518153602834,16.5402944035133,22.718112479338,
Montenegro,,,,,,,,,,,,,,,,,,,,,,
Morocco,,,,,,,,,,,,,19.9317738845189,19.6351223830517,19.8713402843648,21.9662602343453,22.431653537729,25.1186450826804,27.5739556710605,23.9697846193915,23.4259732050035,
Mozambique,,,,,,,,,,,,,,,,,,,,,,
Myanmar,6.19778414572987,5.61020629285277,5.03739654451358,4.72801035299943,4.25171345046186,3.74448720005159,3.9593171544736,4.41523918074799,3.51930951883989,2.75274845684649,2.96650687713913,2.2571405382373,2.00104706364423,2.21041192149512,3.27245647586846,3.88177848278208,,,,,,
Namibia,27.3145864167078,32.4149956408021,30.3422710984802,29.844119544184,27.1594353511735,28.414135054305,27.4059023382853,30.4817622828488,29.2798978125499,31.8976020112164,27.5296552995392,26.3951825773702,25.9757183178098,23.1756540853528,24.2869139389395,25.7606579032852,29.1451654697564,27.3342488039819,,,,
Nepal,6.99669296820608,6.62030193617176,6.48334407233372,6.6546373561321,7.72913404793448,8.98551385878864,8.71991418688458,8.72365986603116,8.63933254666024,8.42250523336725,8.73598111139219,8.80256568799984,8.56058314089016,8.65181185256516,8.97495850015557,9.17945342137588,8.77975841023477,9.7724734037072,10.4400864087645,11.8466620717715,13.3364649864963,
Netherlands,,,,,,21.9120686887614,22.6714203061719,22.2196898640416,22.166891056767,22.6280642062388,22.3301272849076,22.5939235835803,22.5206034212212,21.6379247082997,21.6291654451285,22.6372059594045,23.1938705999082,23.3750107122932,22.8360536333373,22.6278790849959,,
New Caledonia,,,,,,,,,,,,,,,,,,,,,,
New Zealand,,,,,,,,,,,,29.0974507968211,28.7095214935646,29.758396202453,29.7430795659456,30.7590906425661,32.6194186663219,30.8388277069251,,,,
Nicaragua,26.2658366755162,18.2393673743543,19.8495091477019,18.9808828317596,11.6691781181357,12.1999392408435,12.318922334846,13.7391881027682,14.3196973905223,13.907683187851,13.8141615951313,12.7186326608685,13.4880260706856,15.2076083184712,15.8139929956321,16.7373265634697,17.6958928913003,18.1742363320965,17.6035579318306,17.5456102011137,18.2864786207744,
Niger,,,,,,,,,,,,,,,,10.0907213753689,10.7006171697796,11.3400715110636,,,,
Nigeria,,,,,,,,,,,,,,,0.230420236137425,0.175064442991168,0.116679544052715,0.195382728813977,0.279011609156926,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,
Norway,,,,,,,,,,,27.4352199032974,26.8792045218679,27.9331100099393,26.3094295255436,27.8063477429411,28.7254576148842,29.3969967915459,28.8042420261485,28.2662620697414,26.5639168988869,26.8767046629989,
Oman,9.36143693382893,7.50779673282246,6.99262724493301,6.14330918094139,7.12258167847919,7.4259011442917,7.53621707348666,8.76262417910528,6.79490076237971,6.68647502410056,7.16174467593237,7.3880450972859,,,,,,,,,,
