Exports of goods and services (% of GDP),1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Solomon Islands,,,,,,,,,,,,,,,,,,,,,36.8711656441718,36.1748633879781,38.5024154589372,38.1055900621118,33.1976744186046,36.6757493188011,33.4100418410042,32.0092735703246,28.9763779527559,30.0522875816993,33.5403012533057,33.9013614642503,38.6365371402397,36.7523043734066,36.2222976028946,34.4215122048025,38.6659718603439,36.1877479065668,35.6879554222032,24.0899647728299,16.5117519255715,20.0667351372302,26.4064064064064,30.9303319561191,34.0712933551513,36.1378873766294,36.6693760965146,37.2968429607633,36.6446718406679,31.1069957873233,25.8346407254358
Somalia,15.9970508574224,12.7940310779901,15.8688706917421,15.9804522650964,17.1520591354276,14.9586649260226,13.6506466990268,14.8925734375,15.9897338019044,11.5135945722832,13.2610276468836,15.7372130401582,13.9093919771157,17.4628017658556,12.4631157772996,10.0338400958028,20.2616218756102,25.8403676762893,24.3054170951353,33.1798394373682,24.8208650231522,25.9680411494099,23.6272377161479,14.5887535794492,6.33012834037755,6.96350189174995,6.69068310596894,4.82254320782462,7.68308098630114,9.78674718576036,,,,,,,,,,,,,,,,,,,,,
Somaliland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,30.7231688215842,30.4661197169468,29.5149494344382,28.3959736941088,26.4791956589904,26.0387495798319,25.2955314971321,25.9767910493287,23.657113667782,21.8043931048799,21.8873798524096,25.3494633387727,25.359676104758,27.9812163046343,27.6909559624172,27.7392381742739,30.2384648841019,32.3624913190178,35.2101913353856,35.3802015952918,28.3549440651914,26.4546085191158,24.7281402102257,25.4738491065288,31.4150688154607,30.571305851408,30.2639041942452,29.098385994397,26.6946395185055,24.2371034275429,21.7504056269866,21.3432727027009,22.4781935885392,22.1027962421192,22.7724860013928,24.7293469346859,24.5955405163317,25.6528627691488,25.3346819621028,27.8709062034652,30.1275366748637,32.9232854102944,27.8801323655029,26.4224640758355,27.3804295383691,30.0060200676466,31.2918705376739,35.7853827311534,27.400772677329,27.3431916778699,28.8214499330525
South Ossetia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,7.9723561783976,8.30365360888558,7.71228856854201,8.81175933993521,8.1931597903261,8.89285036672404,8.55111556951094,10.5686127545785,11.3329121651617,12.4402980999613,13.3456502233803,13.6796194605434,13.6615972063682,13.5212422178512,12.6917725573265,12.8877140342191,13.5901716575437,14.2338972290986,14.0540336755237,14.6556522273191,16.6991859076138,17.4105541613211,19.5623295363909,21.8469459357326,21.3974371932452,18.6619199273903,18.177374138441,17.7445431991832,17.0262514841089,16.126266747054,16.1631054690467,16.600831962682,18.1610117741585,20.8296972868295,22.3843651121969,23.6243154551498,26.3049168421241,26.6657769424256,26.6711153874008,29.0506376338094,28.5336355098568,27.3264057439205,26.3170395948317,25.9363551861775,25.6667231204732,26.2930129156702,26.9029141793135,26.4956958525007,23.917237562735,27.1822500698362,30.2644930432452
Sri Lanka,27.5375481562273,27.7926702132608,25.7568061710698,24.6155175674352,25.9030183077684,22.3701571308624,20.4603297554498,20.6214425678828,18.3924754168448,25.4537470725995,24.6120996441281,22.3257034170656,24.3479678330798,26.4313659501073,27.4899349061218,29.0467834321094,33.8149257011014,34.7708894878706,33.7106534063794,32.2184977527921,30.459384742074,27.3564561962152,26.3287308492529,28.8040014049146,26.0120092378753,23.7181987363072,25.1922754329692,26.0764386301592,27.2602038183182,30.1808045148298,28.7410868952181,31.7703740803183,33.8010068759821,33.8128837957878,35.597629130901,34.9733377770372,36.5381180828802,36.2438186772706,35.4837047137158,39.0157101466653,37.331198976,34.9133301997449,34.6535028324228,35.3309027324412,32.3368729874893,30.1285270937972,29.1149996870361,24.8414814667026,21.3283706547609,22.37683312087,23.0573544747758
Sudan,13.3094124013797,14.6248998809617,16.7071893102572,15.5418159823984,14.2219134577213,14.3175002418497,15.1076565710712,15.1159804844646,15.6925229286492,16.3407630247504,15.6385315343583,16.0189683090446,14.8483434437704,12.7094668117519,12.0936048588782,11.2212245677715,9.37326465350516,7.91832344697217,9.95612881796919,10.5812303808215,9.61912843807717,9.93507090853229,10.5974767378446,8.45831584682555,5.74667236389142,4.74029448484969,5.52233365689128,3.79553663231622,5.34139315177085,4.02138899639955,3.33502573996073,5.24606994841667,4.23037680505823,4.69055538320909,4.96946605970447,7.45482980430648,5.34362988958966,6.70209369938793,7.77940931979312,15.9845569476461,11.3978615263263,13.9789993839808,14.8278626917226,17.7579629389034,19.207733003113,19.433123164048,22.0996114336658,24.5028725206289,16.12163581979,20.0001892460344,18.4737104467502
Suriname,50.254065041,48.019323671,49.409090909,46.917666529,49.657410746,59.059029807,59.007306626,57.683590209,62.00471193,60.267044305,63.569192635,60.935326843,60.104814936,74.877916441,63.225806452,61.127596439,55.148205928,55.336501076,58.556832695,68.813692667,58.714358023,51.849423592,43.88298226,43.360527686,36.742051961,32.603815937,31.065979487,29.313463692,37.698149377,42.047386042,35.001115325,28.663700774,20.412922697,22.937660225,22.850212128,23.349454198,25.192203695,31.109500529,27.232007632,19.728764478,23.57149125,18.790883323,19.744616775,26.105715898,30.422232933,,,,,,
Svalbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swaziland,41.974629752854,47.8574756821534,59.2283513134055,53.8622183770822,65.9362549800797,73.224043715847,73.5955056179775,75.6140350877193,64.9402390438247,69.9126092384519,67.827868852459,67.0212765957447,70.3896103896104,81.5144766146993,72.9362101313321,75.6962025316456,65.393343419062,62.930452397029,62.8999711732488,74.6014043883763,75.184667598323,66.3868461956126,62.1302699399246,55.5037672705681,56.6728994561156,68.7713122861912,81.8464665089439,76.8702783066478,84.112047826255,59.0212530979661,59.2591921850261,57.3491650226865,57.2855773428248,63.6786784142497,60.0157157443204,59.3548322456269,61.3507658369936,67.1737748921722,64.9999048303866,74.3266633269374,85.4406625002152,95.7114737837294,100.94900607478,84.9293955130337,87.0668776242926,76.6160705340146,75.6694073519774,59.3610454162825,59.5115023004601,54.81112832429,56.3047605858117
Sweden,22.3431372039443,21.9048553694439,21.9423378540379,22.3228790886713,21.8565762927295,21.4181214219423,21.1060896213208,21.5645986027319,22.8423047837807,23.9843191211719,24.2211999252635,24.0818511578967,27.2836229419815,32.0657321810132,28.0230344297197,27.5204404862597,27.266812878501,28.0986459774884,30.2630588704314,29.6704142647427,30.3964411237004,32.8960414576063,36.1706700986884,36.9069074788762,35.7231950868363,33.2018822806442,32.7525389066058,32.4005548663242,32.1673841407732,30.4657208882105,28.2426019977765,28.1295454399311,32.7459824576911,36.0734140837418,39.7008137269801,38.5608293799878,42.0706181311007,43.049563857021,43.0985760053797,46.5227833624004,46.3032789293563,44.3712427822543,43.5220779710688,45.9573379051221,48.4312886481607,51.1070205944683,51.8702067614454,53.5288610375992,47.9570415256666,49.481128414987,49.9302219478812
Switzerland,27.1870018929707,26.8626640895134,26.618426810356,26.5727500663663,27.5110458675101,28.1385750224191,27.8886480635708,29.526841445844,31.3201557527991,,,,,,,,,,,35.2579270030112,36.1238142774862,34.919089371902,34.8620667203637,36.5440469008753,37.9186131019968,36.0191939681591,35.2356259437763,35.9708019012879,37.4806268052341,35.6714515801858,34.6224925854537,35.3299964447338,35.7998789739607,35.5177197953041,35.2167134162426,35.8343602205456,39.1783933089419,39.6876204809074,41.2318630438172,45.4295068716322,44.652447436289,43.2721807966256,42.9113541205171,45.0455422255816,47.5814284222789,50.8208303491899,54.3652631416788,54.2679385074385,50.3670818544732,51.7074618304313,51.2024254599945
Syria,17.5990947645223,20.9337611506815,19.427642641967,16.7084330484958,17.0400715647966,17.6577174101502,15.7516046827668,17.364436350049,17.1102942066454,17.8850265712669,17.728462261534,18.5395540398161,22.5418594360856,24.6131723541148,21.8769913505738,19.9564117731567,18.5687708375546,15.1711386164368,19.5568503785508,18.6280515758837,15.9879529355503,14.2213926029061,13.5456926240702,12.6966753049488,12.5808373256053,11.5113572272316,16.0071827960104,17.1455145564191,24.7545150684404,28.3391968039116,24.4052586306505,26.2564916718241,27.8652825947723,33.0619777475247,31.0397127720128,31.825978458639,32.4207406095272,30.5291709766238,32.3167605104188,35.3894830794694,35.3781996681552,38.0720076501651,33.4705254230503,40.0543851478818,40.3878553249453,39.5045675156527,38.6434451425909,36.8440324707308,29.0758176904754,35.3264536027321,
Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.2,35.9,27.8,33.2,9.67921043044263,28.5547913390323,43.0362522191392,65.5854523950089,76.588304744961,87.2382714844425,48.9150410445322,66.0733793036171,98.7622024788021,67.9919618956127,65.461162387548,63.3768640579796,58.3141127599904,26.0052639545897,23.1876088465696,20.6187422120784,16.7572107817508,13.4107570057182,15.2037741401983,15.3388952445019
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.62114884801,10.2620611945616,12.4418378862935,17.9831078575005,20.6139807131078,24.0747227280252,19.9371649429537,16.2181067167801,12.3977291658926,12.5296570744999,13.3649094359109,17.0065648572779,17.5807532131483,18.5625959460685,19.6512752447967,20.822824861404,22.5624521076214,24.2416952522512,25.1424814255668,23.2278748965413,27.8331928073663,31.0574159957029
Thailand,16.9445041361892,15.2461776057198,14.8124775959311,16.8796401202907,16.4531882204855,17.1425569725887,17.7135920146439,16.5016408935637,15.6878714070772,14.9932163125952,15.9713172661192,18.1657854206479,18.5952279994818,21.5974211866241,18.3646565933962,20.2308801087463,19.9504330207881,19.8893885378586,22.5800678975959,24.1114486540419,23.8473822697109,22.9179074525337,20.1112068822587,21.9013833350844,23.2136291801375,25.6017977287964,28.8940115143369,33.0119677051787,34.9215276270537,34.1319286497983,35.9643100739653,36.9724758960949,37.9595811423277,38.8716855243583,41.8438924447423,39.2516546306634,48.0097680922796,58.8778623263832,58.2976521296902,66.7776484232025,65.8566023739739,64.194334503287,65.6806428667876,70.6970485752625,73.5677106647457,73.6468951511286,73.424473358211,76.4446009709193,68.3516799274815,71.2857654776863,76.9435189343893
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Togo,39.2443933046543,35.0453416928787,25.4175175684475,35.0724428162878,31.9819259271686,38.8858843848326,37.9233323675397,42.0121934999957,45.8916111901018,49.6356481670031,46.8204229856186,39.2801277641696,33.1177763905426,66.0091326530148,43.4077185112331,47.3047212600005,41.4690528975876,63.9784941500752,50.0019000949097,51.0620564642727,46.2332713247476,50.1481477705745,45.4763538670115,51.2428292588793,48.4087572930323,43.9847574392013,41.3692065823352,43.6585288011502,39.6684746929591,33.4738898685772,33.4427775141068,26.934538205912,24.3838623684644,30.5485588468516,32.4369128018816,33.2820379154957,28.9750122642388,29.6863423300758,28.8746893472732,34.3835514503201,33.8012772534915,36.5171714249463,43.3684574416314,38.5647151350178,40.0442980550117,38.2007126341288,37.9192864391865,35.49357130372,36.741125909629,39.9164716973027,40.9145393472091
Tokelau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonga,,,,,,,,,,,,,,,41.3298689750934,26.9358036454979,33.8660384338918,28.7894265849797,26.0781649236344,30.0622153806683,25.375256171187,27.5881228245061,18.657765804704,26.6080233844641,30.1286076420382,25.7123533390184,30.9267213662903,22.7365587521331,25.1032988381216,33.8701785859904,22.9032973187408,23.6419666164795,19.8940887984557,17.3815489615867,17.4887439446501,20.3500859503521,23.7303120966358,19.7175343935266,15.9552323190789,15.4009418319294,13.3573973464008,18.2241302025097,19.3132881150711,19.4470124090579,17.6404540910594,14.374940183359,12.1166519103455,13.7104803324227,14.0269914256904,13.1962475772685,17.8861129985536
Transnistria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,69.5751360639602,65.8566080291778,64.1695872279502,66.7403842059346,64.5521510527688,41.6539039792658,41.6037450921172,42.7394952795676,43.4355728952772,42.7693626383279,42.7498590988193,39.5964442627498,44.150222145548,56.7104765531056,52.9857923649297,55.8361357917627,49.5512965165675,44.0465030321998,45.0741472491576,50.4473452946536,45.8821033227113,34.9143445657643,30.7477808245915,32.1314209586745,32.5534563910357,33.2595577761988,33.8966769015876,38.9161445143017,42.6405169330151,45.3626646772973,40.5197015771362,41.9730790967145,43.9575906245578,46.0699965917556,53.7654857822202,51.5301230673541,53.8547324320482,48.4651311485976,50.0028077649408,59.2187461378656,55.3171221221949,50.2735832297033,52.129678015931,56.0381366373914,65.8201068711388,81.409248028481,65.8512988079809,64.1621293511448,50.5875451837747,57.8321388441388,
Tunisia,20.1217597369525,19.0199633535359,17.7863406988356,18.5454975533749,19.0467038247165,21.0430009149131,21.2105263157895,20.934608750196,22.1352628470171,21.9957649550026,24.1034952337721,25.3489461358314,26.0575002171458,35.3663263987595,31.043987596187,29.0843248836006,29.5816414982435,30.9634043238456,38.9801505817933,40.237254625053,41.3719365689572,36.9099159104154,34.3642490428892,32.9626972740316,32.1032158784891,30.182671359142,34.8263288240638,42.0178740502968,44.3456136143234,43.5570513235389,40.3656225059856,39.5350873352887,40.4453392620882,44.9322743426627,44.9043502738714,42.1093762292632,39.1140807378157,38.5197865270366,37.9790415861375,39.5465695434438,42.8168233248494,40.7848345956986,39.483452208304,42.2212495333239,44.9322920398366,46.0286169494341,51.0681854181412,55.6294804001707,45.0493297349909,48.7573157135051,50.9615166725821
Turkey,5.07400163759117,5.57468531302134,4.14810812985032,4.45010902509196,4.54061602070155,4.08176528542822,4.11187080291947,3.68063504253968,3.58276266666667,4.44223915318066,5.33855664824742,6.00484226080941,7.03241733626374,5.7367891956434,4.42770705553832,4.86103000194364,3.81615087229007,4.1477969611227,3.21971844123682,5.16210392933889,8.23751438288824,11.8641084648787,12.4732844265846,15.6067162441595,15.8607745289282,13.3125280769,15.580840422955,18.6539704158267,16.2029157514894,13.3651028519296,13.8411301141106,14.3922357339889,13.673802849848,21.3621312072128,19.8916075029397,21.5426581369532,24.5817176843052,21.3376403197424,19.4398861615209,20.0978721570203,27.4408824673956,25.2173096886581,22.9946331116953,23.5515583359319,21.8553762094462,22.6699066497756,22.3232413581894,23.9079179693862,23.3164288017118,21.2091413903421,23.7408401618853
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.7117063154087,67.1418016803594,84.6967168597041,84.9550658412254,83.9729320094371,74.5813305468478,42.6883154135827,32.6593198703838,56.1393678996333,95.5016254003586,81.3913889107591,69.0493048741326,62.3092768285498,61.652289352479,65.0267607210839,73.0910071457463,75.393837037037,64.0582474226804,74.5953897693149,77.8146499176198,77.8146499176198
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,24.4182406973828,24.10741265812,28.2908960787189,29.8978432265084,25.5777144666034,25.5673222390318,25.3003328991171,23.940620782726,21.5286929435725,23.352228520618,19.8162600019757,19.3896713615023,16.5514972030273,14.7194674636598,8.65040497268789,11.3880603113635,9.15264423076923,13.6528581180613,19.4013627704211,19.4438418460401,16.0771704180064,8.38117106773823,8.65942568070228,12.6924225776632,13.7385248665858,12.810112115231,8.24709874832385,7.57267131380618,7.95440069905221,7.2407208592859,7.46443030843186,8.76108880469567,7.06252297732992,8.74053183100128,11.7919923330531,11.9611132735901,13.359513678728,9.63904758759618,12.2515738969117,10.6514092935758,11.5180826372621,11.2132791665065,11.3867248342813,12.6968807489092,14.1796999800202,15.275413383609,16.7250685274346,24.2794485734827,23.7459012739474,23.763391563017,23.6682685173862
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0759391339496,27.6433174374286,26.115589871693,23.9809058817498,25.8779416441612,35.3888484399336,47.0732489070167,45.6519312032399,40.5912252201109,41.8878457882583,53.7037897536807,62.4448756394426,55.4606004211764,55.0870200611133,57.7510623017535,61.2112554438691,51.478303416906,46.6242031193433,44.8440541616775,46.9232830128178,46.375028056211,50.7464189349594,53.7713048761963
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.1592253276122,49.5033473840813,55.9231992151745,63.5677906002192,67.5854343932605,68.6311120482932,72.3185128304657,79.0248273106471,74.7069162625088,77.9368848994707,
United Kingdom,19.8952614169071,19.4231000587726,19.3240440726467,18.7296521595391,18.5120424545618,18.7531405373601,18.4760516243004,20.6995154973438,21.4833629003566,22.3335920918009,22.4627731296373,21.1484037434694,23.0943871220783,27.3477107232771,25.4052779052962,28.0564605085311,29.7579668921348,28.3061047237647,27.8266232588015,27.1407986825854,26.6818584433371,26.3027357094056,26.4945134713727,28.3292868119777,28.7534760806948,25.6215485585213,25.3468326082139,22.9470648471296,23.6358548110129,23.9500388403652,23.1619071799874,23.3860596707819,25.3492837009092,26.4384468972722,28.249912037378,29.3001639960805,28.6723270327356,26.6080446983068,26.1410547312498,27.7130793381278,27.2861964351201,26.2612074314125,25.8421637943473,25.5256979650482,26.9597928265397,29.119376037481,26.9181280047928,29.8119757295804,28.8302779943546,30.5396472992406,32.493158671981
United States,5.11246439248245,5.0028029503771,5.07576183103233,5.32367880648261,5.20622986921275,5.23990459110955,5.26467324624496,5.31154199336916,5.33414628431679,5.82552693208431,5.65986883478573,5.77959183673469,6.9597604615497,8.52681876303924,8.54379696932364,8.26377756895694,7.91120381406436,8.21177504393673,9.04658934539021,10.1463414634146,9.83310780333784,8.77404963286551,7.89871396389974,7.75305096913137,7.21659338558593,7.23841807909604,7.74223754495733,8.76943440210198,9.24867180175377,9.60040342213257,10.0595207985567,10.1408540675205,9.9591365507603,10.3055781962736,11.0637196119045,11.194540129788,11.5593774601829,10.9129390229951,10.6364906999247,11.0437628803491,10.0421149317464,9.47102037732998,9.3874275202222,10.0035599857601,10.387367382186,11.0481054489466,11.9017605179848,12.9879811242466,11.4215407639783,12.7911008779838,13.9694356059848
Uruguay,14.2975014222846,11.4361217801605,12.1188381093752,12.0430431958064,18.3760527946914,17.1659246188884,14.6019255417449,15.1946111835802,13.4039595475148,13.8826419337554,10.2793509532174,15.4375368360372,10.4178928781636,14.3823399586016,16.7806426984131,19.5591538131255,19.8966604234736,18.8468455431397,16.8330595649623,15.032970370049,15.2041124379445,14.3258667667259,25.688872513407,26.5806208870658,26.7565263896781,26.2150885349277,21.6486948835423,22.0578881217247,23.4938691449652,23.5321233746953,20.6936682982543,20.4475748164263,19.1260158469537,19.7668103889187,18.9968128121984,19.6699797975865,17.4578477007086,16.4199105613285,15.0976530700837,16.6980989283082,16.8046592579068,20.6216724862097,27.4324201220629,32.1122955980312,30.4040198040631,30.2975044000066,29.0904872610904,30.203023968519,27.969850603606,26.8482140159384,27.0927194474848
USSR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.8355986975184,35.2801737793931,27.0339377295773,33.7196634216488,16.7755897258838,27.9465555772651,27.687280866696,27.0404010933325,22.4965406402393,18.1456578316875,24.5879936121726,28.0756191264893,30.8114686272075,37.2491720845185,40.2077350950167,37.8542462037002,37.1442578506982,39.6703138701667,43.5239727031385,36.3790284229476,31.1928632269336,31.6644285143799
Wallis et Futuna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanuatu,,,,,,,,,,,,,,,,,,,,33.1530402837573,38.3741634432369,42.7650060796035,54.2264285844832,57.6760092186454,48.7343702348277,34.7627665433944,35.7779014750904,35.514440433213,37.3971132052964,47.0822996440513,42.6539610297255,45.6094600062947,46.000787160537,45.315989499667,44.6478282423826,45.9603519404184,52.1382799325464,42.2895240373116,37.3785846438483,39.1789749205417,37.9562433297759,39.5964864122976,43.6481404095278,44.0783002164076,45.0309547083741,41.8815949780081,40.7015822866762,44.3854821811651,41.561603332011,48.6866676862192,
Venezuela,28.6728047181386,29.1702247486242,28.8726488682865,26.822810728819,25.8152168304978,24.3377117989202,24.2940196602687,22.3696687285335,21.3309022434235,20.9205015291469,22.406014825141,20.4419889502762,25.0867046836232,38.6645955683809,28.8281811397559,25.8084571721492,23.2161869831205,20.4071735245816,25.9603719182508,28.7777027192147,26.8438343050002,22.1634339778053,19.5128940525664,26.8110727189381,24.1181487972884,19.8172441540075,21.438274812014,20.568680104306,34.1234314180517,39.4500234944572,31.3532677616929,26.3530068984914,26.958345243764,30.8633304331027,27.1071468394058,36.5141487702734,29.2590106069999,20.920486481036,22.9117089002201,29.7442196597828,22.7356315651648,30.4335705492145,33.8533894084396,36.1983535672104,39.6586527436252,36.5186216079437,31.1305388597077,30.8216690057259,18.0715188695789,28.5304069880193,29.9430146096987
West Bank and Gaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.6231080316796,15.4995181331572,16.6691427038288,15.8390967405515,17.6812108851447,16.3972183120571,15.9859274035241,16.0827698897667,15.5961244118772,14.0280982673522,14.6109113454528,14.0494945626636,,,,,,
West Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Sahara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,6.62253904944357,6.00142845647144,3.94529821446956,23.8493582981992,36.0386153907521,30.9150392484318,34.7455963260489,28.7227818661144,34.0131275269099,32.8128561801465,40.8684877939394,43.1027056197625,44.8483034664929,49.9662477347473,55.0325381801473,54.6122431117095,56.8000554633876,59.2940177072736,65.7362503093078,69.3590765611986,73.6050524189492,76.8951181019747,77.9224504692809,68.300460084781,77.5306752337557,87.0158200684179
Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Yemen (former),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Yemen (former),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.205989672745,11.023550518929,10.4375683845483,12.5768504437694,12.5079491492182,22.3746362773323,38.5060950534404,36.2842007165864,26.5435324068379,34.8393536828825,41.4089049403312,35.8969256355878,37.0011733412925,36.4390068695527,36.3824952503206,40.896819540631,41.2586730708651,35.9035113182155,37.8393626849513,28.220751640766,30.4815114613091,
Yugoslavia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zambia,52.3594583504309,52.555647155812,54.6611011727291,60.4492852280463,49.2480211081794,51.4915254237288,49.6240601503759,48.4387495329953,62.696223255814,53.6432665857279,42.391397541303,43.8205573067231,49.1404833275584,50.3923984770932,36.5962321792261,43.2880854084263,39.3425308095046,33.5584465837871,45.4179812759353,41.3892135729797,28.6337287448905,27.6778017252889,32.9187803055591,35.0719961739654,36.4399931799942,42.1539451987164,39.4750499487288,33.3069462501494,26.8055057711294,35.8797824336052,34.6125779117569,36.3913363198827,33.5695434446497,36.0049403753612,36.0167930571734,31.325813432297,30.1213985535879,26.9032326438961,27.2196000144591,26.4759940043792,28.1377061560792,28.504408172732,28.3357909212428,37.7775547281246,34.566205540835,38.4908942829956,40.9126381660558,35.3745795909594,35.0130596605033,46.7761745418982,46.0382930628548
Zimbabwe,,,,,,,,,,,,,,,22.7649781632654,21.9602487433586,21.3950276036739,22.0216942318344,21.8000032000477,23.3673922813635,19.4252263652427,16.9255801933255,16.4429243834077,20.5611384621222,22.2057751154721,24.0494104193231,24.0157107794805,23.7403460729697,23.3422825872853,22.8668460770852,23.8834690520248,27.2272626256419,30.7196164082204,34.5999760916534,38.236343753444,36.130073188138,37.5952723089227,43.3930859736558,37.4085802479423,38.1597545135839,34.9589125224144,31.8347991002939,32.3970600020644,34.4697995350979,33.5486482233238,35.9561692089609,37.785374012259,41.4668488212043,29.2775928379279,47.637340340012,49.4108615388004
Åland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.2626593820918,62.2389736630171,64.5394832601494,64.8876811439183
Christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coastline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curaçao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sint Maarten (Dutch part),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Martin (French part),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antarctica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Virgin Islands, British",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaiian Trade Zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Pacific Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wake Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonaire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinese Taipei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Eustatius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
